table	columns	tier	payload_family	user_bearing	classification	decision	evidence
public.system_settings	value_json	BOOTSTRAP	org_aware_config	yes	BOOTSTRAP	org-aware global/override config from P0.11; mirror lockstep; no payload samples	ALLOWED_KEYS may include whitelists/admin ids
public.patient_merge_candidates	payload	SCOPED	merge_candidate_context	yes	SCOPED	direct organization_id NOT NULL; keep scoped; no samples	anchor/candidate FKs carry patient identity
public.admin_audit_log	details	SCOPED	audit_details	yes	SCOPED	organization_id materialized in P0.4.P8; keep scoped; no samples	audit actor/target/conflict context
public.message_log	text,channel_bindings_used,error_message	SCOPED	delivery_log	yes	SCOPED	organization_id materialized from recipient/user; keep scoped; no samples	message body/channel binding log
public.notification_delivery_attempts	metadata,error_message,recipient_ref	SCOPED	delivery_attempt	yes	SCOPED	organization_id materialized from related message/reminder/support event; keep scoped; no samples	delivery attempt recipient/status metadata
public.support_delivery_events	payload_json,reason	SCOPED	delivery_event	yes	SCOPED	organization_id materialized from support parent; keep scoped; no samples	support delivery projection payload
public.reminder_delivery_events	payload_json,error_code	SCOPED	reminder_delivery_event	yes	SCOPED	organization_id materialized from reminder parent; keep scoped; no samples	reminder delivery projection payload
public.content_access_grants_webapp	meta_json	SCOPED	access_grant_metadata	yes	SCOPED	organization_id materialized from user/content; keep scoped; no samples	grant metadata tied to user/content
public.operator_health_failure_archive	summary_json,raw_error_truncated	SCOPED	operator_health_archive	yes	SCOPED	organization_id materialized from user/doctor where present; retention is health archive TTL; no samples	archived failure summary may mention queue/user context
public.product_analytics_events_recent	metadata	SCOPED	analytics_event_metadata	yes	SCOPED	SCOPED event row with short-retention recent table; hourly rollups remain TELEMETRY/global; no samples	user-bearing recent analytics metadata
public.patient_diary_day_snapshots	plan_item_ids,plan_done_mask	SCOPED	patient_diary_snapshot	yes	SCOPED	organization_id materialized from patient; keep scoped; no samples	patient plan progress snapshot
public.program_action_log	payload,note	SCOPED	program_action_payload	yes	SCOPED	organization_id materialized from program parent; keep scoped; no samples	patient action/note payload
public.treatment_program_events	payload,reason	SCOPED	treatment_program_event_payload	yes	SCOPED	organization_id materialized from instance parent; keep scoped; no samples	program event details
public.treatment_program_template_stage_items	settings	SCOPED	treatment_template_item_settings	yes	SCOPED	organization_id copied from template stage parent; keep scoped; no samples	stage item config may include clinical/editor context
public.treatment_program_instance_stage_items	settings,snapshot,local_comment	SCOPED	treatment_instance_item_snapshot	yes	SCOPED	organization_id copied from instance stage parent; keep scoped; no samples	patient program item snapshot/comment
public.test_results	raw_value	SCOPED	clinical_test_raw_value	yes	SCOPED	organization_id copied from test_attempts; keep scoped; no samples	clinical test answer/result value
public.be_booking_form_submissions	attribution_json	SCOPED	booking_form_attribution	yes	SCOPED	direct organization_id NOT NULL; booking form attribution stays scoped; no samples	booking form submission attribution
public.be_appointment_events	payload	SCOPED	booking_appointment_event	yes	SCOPED	direct organization_id NOT NULL; appointment event payload stays scoped; no samples	booking appointment audit/event payload
public.be_patient_timeline_events	payload	SCOPED	booking_patient_timeline	yes	SCOPED	direct organization_id NOT NULL and platform_user_id FK; timeline payload stays scoped; no samples	patient timeline payload
public.be_appointment_history_events	payload	SCOPED	booking_appointment_history	yes	SCOPED	direct organization_id NOT NULL; appointment history payload stays scoped; no samples	booking appointment history payload
public.be_external_entity_mappings	metadata	SCOPED	booking_external_mapping_metadata	yes	SCOPED	direct organization_id NOT NULL; external mapping metadata stays scoped; no samples	external id mapping metadata
public.be_payment_intents	metadata_json	SCOPED	booking_payment_intent_metadata	yes	SCOPED	direct organization_id NOT NULL; payment intent metadata stays scoped; no samples	payment intent metadata
public.be_payment_provider_events	payload_json	SCOPED	booking_payment_provider_event	yes	SCOPED	direct organization_id NOT NULL; provider event payload stays scoped; no samples	payment provider webhook/event payload
public.be_payment_history_events	payload_json	SCOPED	booking_payment_history	yes	SCOPED	direct organization_id NOT NULL; payment history payload stays scoped; no samples	payment history payload
public.be_package_history_events	payload_json	SCOPED	booking_package_history	yes	SCOPED	direct organization_id NOT NULL; package history payload stays scoped; no samples	patient package history payload
public.be_subscription_packages	fulfillment_json	SCOPED	booking_subscription_fulfillment	no	SCOPED	direct organization_id NOT NULL; subscription fulfillment config stays scoped; no samples	subscription package fulfillment config
public.be_appointment_cancellations	applied_policy_snapshot,notifications_sent	SCOPED	booking_cancellation_policy_runtime	yes	SCOPED	direct organization_id NOT NULL; policy runtime payloads stay scoped; no samples	booking cancellation policy snapshots/notification markers
public.be_appointment_reschedules	applied_policy_snapshot,notifications_sent	SCOPED	booking_reschedule_policy_runtime	yes	SCOPED	direct organization_id NOT NULL; policy runtime payloads stay scoped; no samples	booking reschedule policy snapshots/notification markers
public.be_appointment_no_shows	notifications_sent	SCOPED	booking_no_show_policy_runtime	yes	SCOPED	direct organization_id NOT NULL; policy runtime payloads stay scoped; no samples	booking no-show notification markers
public.be_schedule_templates	config	SCOPED	booking_schedule_template_config	no	SCOPED	direct organization_id NOT NULL; schedule template config stays scoped; no samples	schedule config JSON
public.be_working_days	breaks	SCOPED	booking_working_day_breaks	no	SCOPED	direct organization_id NOT NULL; break config stays scoped; no samples	working day breaks JSON
public.be_working_hours	breaks	SCOPED	booking_working_hour_breaks	no	SCOPED	direct organization_id NOT NULL; break config stays scoped; no samples	working hour breaks JSON
integrator.user_reminder_delivery_logs	payload_json,error_code	SCOPED	reminder_delivery_log	yes	SCOPED	organization_id copied from occurrence parent; keep scoped; no samples	integrator reminder delivery log payload
public.idempotency_keys	response_body	INFRA	idempotency_response	no	scrubbed_global	request_hash is non-payload; response_body must remain operational/idempotency only; no user-bearing samples	INFRA idempotency table
integrator.idempotency_keys	response_body	INFRA	idempotency_response	no	scrubbed_global	request_hash is non-payload; response_body must remain operational/idempotency only; no user-bearing samples	INFRA idempotency table
public.integrator_push_outbox	payload,last_error	INFRA	outbox_payload	yes	INFRA_TRANSIENT	retention/scrub decision: operational retry payload remains INFRA; workers must not log raw payload/PII; dead rows require bounded retention/manual health archive path	webapp to integrator retry outbox
integrator.projection_outbox	payload,last_error	INFRA	projection_outbox_payload	yes	INFRA_TRANSIENT	retention/scrub decision: operational projection retry payload remains INFRA; merge policy rewrites user ids; workers must not log raw payload/PII; dead rows require bounded retention/manual health archive path	integrator to webapp projection outbox
public.outgoing_delivery_queue	payload_json,last_error	INFRA	delivery_queue_payload	yes	INFRA_TRANSIENT	retention/scrub decision: operational delivery queue remains INFRA; workers must not log raw payload/PII; dead rows require bounded retention/manual health archive path	public outgoing delivery queue
integrator.delivery_attempt_logs	payload_json,reason	INFRA	delivery_attempt_payload	yes	INFRA_TRANSIENT	retention/scrub decision: operational delivery attempt payload remains INFRA; do not print raw payload; if long-retained reporting is needed, copy to SCOPED notification_delivery_attempts	integrator delivery attempts
integrator.message_retry_jobs	message_text,payload_json,last_error	LEGACY	rubitime_retry_payload	yes	LEGACY	frozen legacy Rubitime retry payload; do not expand; no samples	legacy retry jobs
public.appointment_records	payload_json,phone_normalized	LEGACY	appointment_record_payload	yes	LEGACY	frozen legacy appointment record payload; do not expand; no samples	legacy public appointment mirror
